x,V,psiSquared
-2,2248,6.749201938987935e-43
-1.984313725490196,2181.376016916689,7.32731925597862e-42
-1.968627450980392,2116.264821706968,6.062092849649522e-41
-1.952941176470588,2052.642979044791,4.723638924896308e-40
-1.937254901960784,1990.487239598765,3.553630200740568e-39
-1.92156862745098,1929.774540032144,2.589826413308419e-38
-1.905882352941176,1870.482003002837,1.829690286871107e-37
-1.890196078431372,1812.586937163404,1.253570293738583e-36
-1.874509803921569,1756.066837161054,8.331404339197107e-36
-1.858823529411765,1700.899383637648,5.37298884329111e-35
-1.843137254901961,1647.062443229699,3.363331314915287e-34
-1.827450980392157,1594.534068568369,2.044116044371988e-33
-1.811764705882353,1543.292498279475,1.206558542706653e-32
-1.796078431372549,1493.316156983481,6.918654718271653e-32
-1.780392156862745,1444.583655295504,3.855205608356268e-31
-1.764705882352941,1397.073789825313,2.088080042476376e-30
-1.749019607843137,1350.765543177328,1.099614519797744e-29
-1.733333333333333,1305.638083950617,5.631791146152262e-29
-1.71764705882353,1261.670766738904,2.805972883415107e-28
-1.701960784313725,1218.84313213056,1.3604058645055e-27
-1.686274509803922,1177.134906708611,6.419749151600985e-27
-1.670588235294118,1136.52600305073,2.949496276589947e-26
-1.654901960784314,1096.996519729244,1.319692876018601e-25
-1.63921568627451,1058.52674131113,5.751848833864277e-25
-1.623529411764706,1021.097138358018,2.442673180277763e-24
-1.607843137254902,984.688367426186,1.01101999205894e-23
-1.592156862745098,949.2812710665658,4.079465288060819e-23
-1.576470588235294,914.8568778247385,1.60512184093202e-22
-1.56078431372549,881.3964022409386,6.160070896971902e-22
-1.545098039215686,848.8812448500496,2.30646892322145e-21
-1.529411764705882,817.2929921816069,8.427612029645555e-21
-1.513725490196078,786.6134167597975,3.005847542772008e-20
-1.498039215686275,756.8244771034593,1.046754777167803e-19
-1.482352941176471,727.908317726081,3.559986111416445e-19
-1.466666666666667,699.8472691358027,1.182732281271186e-18
-1.450980392156863,672.6238478354154,3.839445770446389e-18
-1.435294117647059,646.220756322362,1.218157457932429e-17
-1.419607843137255,620.620883088736,3.778328525966245e-17
-1.403921568627451,595.8073026212819,1.145950199796314e-16
-1.388235294117647,571.763275401396,3.399457449550717e-16
-1.372549019607843,548.4722479051251,9.86595611932494e-16
-1.356862745098039,525.9178526031674,2.80196109706985e-15
-1.341176470588235,504.0839079608723,7.789073619983751e-15
-1.325490196078431,482.95441843824,2.119910527026087e-14
-1.309803921568627,462.5135744899228,5.650206244433617e-14
-1.294117647058824,442.7457525652232,1.475139034033579e-13
-1.27843137254902,423.635515108095,3.773376540844025e-13
-1.262745098039216,405.1676105571437,9.459372694663402e-13
-1.247058823529412,387.3269733456257,2.32453352839225e-12
-1.231372549019608,370.0987239014481,5.60088535975801e-12
-1.215686274509804,353.4681686471697,1.323521099364718e-11
-1.2,337.4208,3.068061909306065e-11
-1.184313725490196,321.9422963718004,6.978498676841748e-11
-1.168627450980392,307.0185221690827,1.557865290076099e-10
-1.152941176470588,292.6355277930101,3.414074742573194e-10
-1.137254901960784,278.7795496393972,7.346769063339296e-10
-1.12156862745098,265.4370100987095,1.552761734552707e-09
-1.105882352941177,252.5945175560638,3.224058779932e-09
-1.090196078431373,240.2388663912278,6.578020360242414e-09
-1.074509803921569,228.3570369786204,1.319124635427844e-08
-1.058823529411765,216.9361956873122,2.600631474430338e-08
-1.043137254901961,205.9636948810243,5.041711035332374e-08
-1.027450980392157,195.4270729181291,9.613616549887333e-08
-1.011764705882353,185.3140541516505,1.803468930351373e-07
-0.996078431372549,175.6125489292631,3.329251623359141e-07
-0.9803921568627452,166.3106535932931,6.049276847825117e-07
-0.9647058823529413,157.3966504807175,1.082135659171798e-06
-0.9490196078431372,148.8590079231644,1.906266410584281e-06
-0.9333333333333333,140.6863802469136,3.307585267153289e-06
-0.9176470588235295,132.8676077728955,5.654128505436893e-06
-0.9019607843137254,125.3917168166917,9.524643779697941e-06
-0.8862745098039215,118.2479196885355,1.581470749742128e-05
-0.8705882352941177,111.4256146933107,2.588829674236196e-05
-0.8549019607843138,104.9143861305525,4.179033260417371e-05
-0.8392156862745099,98.70400429444747,6.6539255677388e-05
-0.8235294117647058,92.78442547383293,0.0001045223332759578
-0.807843137254902,87.14579195219773,0.0001620198110558055
-0.7921568627450981,81.77843200768169,0.0002478867679454379
-0.776470588235294,76.67285991307571,0.0003744230524299379
-0.7607843137254902,71.81977593582215,0.0005584613097852676
-0.7450980392156863,67.2100663380142,0.0008227001312912897
-0.7294117647058824,62.83480337639638,0.001197303043379511
-0.7137254901960786,58.68524530236429,0.001721773761754998
-0.6980392156862745,54.7528363619647,0.00244710339381303
-0.6823529411764706,51.02920679589565,0.003438165895379086
-0.6666666666666667,47.50617283950619,0.004776314273256088
-0.6509803921568627,44.17573672279654,0.006562102442786493
-0.6352941176470588,41.03008667041821,0.008918027494747117
-0.6196078431372549,38.06159690167373,0.01199115612778557
-0.6039215686274511,35.26282763051682,0.0159554693770816
-0.5882352941176472,32.6265250655524,0.02101373410918679
-0.5725490196078431,30.14562141003645,0.0273986908549524
-0.5568627450980392,27.81323486187625,0.03537333819845986
-0.5411764705882354,25.62266961363012,0.04523009663803551
-0.5254901960784313,23.56741585250755,0.05728865155288305
-0.5098039215686274,21.64114976036927,0.0718923068204983
-0.4941176470588236,19.83773351372709,0.08940272791253151
-0.4784313725490197,18.15121528374398,0.110193014993856
-0.4627450980392158,16.57582923623409,0.1346391205289236
-0.4470588235294117,15.10599553166269,0.1631097089123445
-0.4313725490196079,13.73632032514629,0.1959546434856196
