x,psiSquared,phiSquared
-2,4.867550923304035e-43,1.033498705735492e-41
-1.996089931573803,2.230948413906683e-42,4.735408390005808e-41
-1.992179863147605,5.736688286000079e-42,1.217072116603051e-40
-1.988269794721408,1.196554803247441e-41,2.536891026100337e-40
-1.98435972629521,2.261636621519217e-41,4.791200272711906e-40
-1.980449657869013,4.057049697355999e-41,8.58684875401544e-40
-1.976539589442815,7.064527743166723e-41,1.493719681639136e-39
-1.972629521016618,1.208451658681303e-40,2.552392852740799e-39
-1.96871945259042,2.044246333335377e-40,4.312817436322033e-39
-1.964809384164223,3.432772017662971e-40,7.233785440745649e-39
-1.960899315738025,5.734890228144655e-40,1.207052559101586e-38
-1.956989247311828,9.544197567649008e-40,2.006373065847555e-38
-1.953079178885631,1.583520921530143e-39,3.324760166155276e-38
-1.949169110459433,2.620468860215677e-39,5.495084787948249e-38
-1.945259042033236,4.326390337102644e-39,9.060990631374843e-38
-1.941348973607038,7.127495263317103e-39,1.490863712343288e-37
-1.937438905180841,1.171810254680422e-38,2.447970903066923e-37
-1.933528836754643,1.922712256876279e-38,4.011515252609798e-37
-1.929618768328446,3.14865602215941e-38,6.560878885435939e-37
-1.925708699902248,5.146371998926672e-38,1.070972239752839e-36
-1.921798631476051,8.395557781960724e-38,1.744875717831529e-36
-1.917888563049853,1.367021973648313e-37,2.837435934756075e-36
-1.913978494623656,2.221686481179439e-37,4.605393187712533e-36
-1.910068426197459,3.603913291377436e-37,7.460868915760122e-36
-1.906158357771261,5.83515804756806e-37,1.206414643965303e-35
-1.902248289345064,9.430175620172306e-37,1.947109708689616e-35
-1.898338220918866,1.521170014719334e-36,3.136698824342037e-35
-1.894428152492669,2.449223319387899e-36,5.043657938603037e-35
-1.890518084066471,3.936166277291003e-36,8.094883260635473e-35
-1.886608015640274,6.314146158239895e-36,1.296789328760129e-34
-1.882697947214076,1.01100584265051e-35,2.073594458995528e-34
-1.878787878787879,1.615817177724185e-35,3.309599516556811e-34
-1.874877810361681,2.577697597531651e-35,5.272613622467916e-34
-1.870967741935484,4.104635216938946e-35,8.384496404105937e-34
-1.867057673509287,6.52411610296131e-35,1.330853334113204e-33
-1.863147605083089,1.03508250071552e-34,2.108566164666451e-33
-1.859237536656892,1.639215599502019e-34,3.334645974994413e-33
-1.855327468230694,2.5912342271199e-34,5.264041908983254e-33
-1.851417399804496,4.088729689778345e-34,8.294642774611283e-33
-1.847507331378299,6.439956243922353e-34,1.304627170535705e-32
-1.843597262952102,1.012492639614731e-33,2.048269852455286e-32
-1.839687194525904,1.58897449819735e-33,3.209974532332208e-32
-1.835777126099707,2.489199621895542e-33,5.021474927742446e-32
-1.831867057673509,3.892439980025251e-33,7.841117213009058e-32
-1.827956989247312,6.075823848817305e-33,1.222202495546931e-31
-1.824046920821114,9.466972754300049e-33,1.901641279514914e-31
-1.820136852394917,1.472452980682008e-32,2.953492503268152e-31
-1.816226783968719,2.286113303081792e-32,4.578957710953368e-31
-1.812316715542522,3.54308625277881e-32,7.086348581729733e-31
-1.808406647116324,5.481444348370855e-32,1.09472527747024e-30
-1.804496578690127,8.46523960364758e-32,1.688169974156945e-30
-1.80058651026393,1.305016833759086e-31,2.598706445286357e-30
-1.796676441837732,2.008293748923694e-31,3.993281600816779e-30
-1.792766373411535,3.085135719829713e-31,6.125421058464515e-30
-1.788856304985337,4.731064592428391e-31,9.37943954593201e-30
-1.78494623655914,7.242403167167028e-31,1.433687158793358e-29
-1.781036168132942,1.106744529944985e-30,2.187611016847716e-29
-1.777126099706745,1.688319313172704e-30,3.332158426817856e-29
-1.773216031280547,2.571022993061698e-30,5.06667034412157e-29
-1.76930596285435,3.908437311949349e-30,7.690644832960037e-29
-1.765395894428152,5.931271561640162e-30,1.165326426930657e-28
-1.761485826001955,8.98548625564917e-30,1.76270160970197e-28
-1.757575757575758,1.358895709350143e-29,2.661693260396732e-28
-1.75366568914956,2.051554637007875e-29,4.012239405024467e-28
-1.749755620723363,3.091961761078797e-29,6.037636114531368e-28
-1.745845552297165,4.65201232527193e-29,9.069846226688941e-28
-1.741935483870968,6.987228789334391e-29,1.360151978570446e-27
-1.73802541544477,1.047678629134151e-28,2.036250043445837e-27
-1.734115347018573,1.568237624017759e-28,3.043214477788289e-27
-1.730205278592375,2.343462260887247e-28,4.540392861368038e-27
-1.726295210166178,3.49597259050253e-28,6.762625673014499e-27
-1.72238514173998,5.206473737801801e-28,1.00554136532665e-26
-1.718475073313783,7.740813455051996e-28,1.492618560983837e-26
-1.714565004887586,1.148942846377487e-27,2.21189072858385e-26
-1.710654936461388,1.702475228781128e-27,3.272246868202341e-26
-1.706744868035191,2.51846185703806e-27,4.832786878403058e-26
-1.702834799608993,3.719322191221966e-27,7.12557711687456e-26
-1.698924731182796,5.4836246477141e-27,1.048853644033797e-25
-1.695014662756598,8.071398325922047e-27,1.541288049692015e-25
-1.691104594330401,1.186065381640096e-26,2.261145090940296e-25
-1.687194525904203,1.739998667750235e-26,3.311695335242817e-25
-1.683284457478006,2.548421639050707e-26,4.842295340899872e-25
-1.679374389051808,3.726296268400189e-26,7.068589324715665e-25
-1.675464320625611,5.439623666196067e-26,1.030140424671593e-24
-1.671554252199414,7.927702592988991e-26,1.498800875331647e-24
-1.667644183773216,1.153491800098427e-25,2.177092587536721e-24
-1.663734115347019,1.675606310550922e-25,3.157162513105661e-24
-1.659824046920821,2.430084761419362e-25,4.570941646791306e-24
-1.655913978494624,3.518555949745954e-25,6.607006608939254e-24
-1.652003910068426,5.086309112152538e-25,9.534452359788853e-24
-1.648093841642229,7.340707743672405e-25,1.373663426089134e-23
-1.644183773216031,1.057722291004728e-24,1.975877928939822e-23
-1.640273704789834,1.521617745325103e-24,2.837505417265048e-23
-1.636363636363636,2.185452141891188e-24,4.068288326264897e-23
-1.632453567937439,3.1338666271945e-24,5.823536563700962e-23
-1.628543499511241,4.486677312341757e-24,8.322687080366777e-23
-1.624633431085044,6.413216814235911e-24,1.187527357542567e-22
-1.620723362658846,9.152408882902141e-24,1.691720445637946e-22
-1.616813294232649,1.304082158631243e-23,2.406135659294143e-22
-1.612903225806452,1.855180555904527e-23,3.41680171480832e-22
-1.608993157380254,2.635000782724194e-23,4.844279774391202e-22
-1.605083088954057,3.736717709477642e-23,6.857251055494164e-22
-1.601173020527859,5.290740388216884e-23,9.691341383901386e-22
-1.597262952101662,7.479298647934316e-23,1.367515824900994e-21
-1.593352883675464,1.055662762105802e-22,1.926624471066411e-21
-1.589442815249267,1.487685313987127e-22,2.710064596251591e-21
-1.585532746823069,2.093245359046073e-22,3.806113086692864e-21
-1.581622678396872,2.940722384840789e-22,5.337093640832311e-21
-1.577712609970674,4.124909155004908e-22,7.472237408375885e-21
-1.573802541544477,5.777006559229607e-22,1.044529763336966e-20
-1.56989247311828,8.078320607913733e-22,1.457863655518617e-20
-1.565982404692082,1.127900275024208e-21,2.031610945397701e-20
-1.562072336265885,1.572364945164578e-21,2.826788634125364e-20
-1.558162267839687,2.188621576743129e-21,3.927144655511503e-20
-1.55425219941349,3.041755575875085e-21,5.447444851331872e-20
-1.550342130987292,4.221005340914227e-21,7.544713940276505e-20
-1.546432062561095,5.848534852033684e-21,1.043345906671408e-19
-1.542521994134897,8.091322168494357e-21,1.440625399842328e-19
-1.5386119257087,1.117724510251187e-20,1.986152725578108e-19
-1.534701857282502,1.541681154283656e-20,2.734101569960123e-19
-1.530791788856305,2.12324690117175e-20,3.758016536562165e-19
-1.526881720430108,2.91980749195473e-20,5.157584782935209e-19
-1.52297165200391,4.009196664001346e-20,7.067719716328499e-19
-1.519061583577713,5.49682057998043e-20,9.670726942193394e-19
-1.515151515151515,7.525207148715549e-20,1.321257267915685e-18
-1.511241446725318,1.02867856604057e-19,1.802460385788354e-18
-1.50733137829912,1.404096291673777e-19,2.455250135333396e-18
-1.503421309872923,1.913690497428157e-19,3.339481472372075e-18
-1.499511241446725,2.604388391178094e-19,4.535416920731735e-18
-1.495601173020528,3.539163933629956e-19,6.150520628092935e-18
-1.49169110459433,4.802397695490375e-19,8.328458588396381e-18
-1.487781036168133,6.50698361438473e-19,1.126100292069023e-17
-1.483870967741935,8.803737563652386e-19,1.520375286510582e-17
-1.479960899315738,1.189383421944634e-18,2.049686412543901e-17
-1.476050830889541,1.604522184617521e-18,2.759233996010901e-17
-1.472140762463343,2.16142543464475e-18,3.708990582165835e-17
-1.468230694037146,2.907415551809771e-18,4.978409482100064e-17
-1.464320625610948,3.905241660781622e-18,6.67259527064223e-17
-1.460410557184751,5.237985649324932e-18,8.930377790664752e-17
-1.456500488758553,7.015488441603278e-18,1.19348607459775e-16
-1.452590420332356,9.382754940778147e-18,1.59271823289238e-16
-1.448680351906158,1.253093036226435e-17,2.122443866468689e-16
-1.444770283479961,1.671161315344455e-17,2.824299398871376e-16
-1.440860215053763,2.225549083688763e-17,3.752875061204869e-16
-1.436950146627566,2.959656821114474e-17,4.979639731227405e-16
-1.433040078201369,3.930361918820696e-17,6.598022255476e-16
-1.429130009775171,5.212095532416664e-17,8.729980125863967e-16
-1.425219941348974,6.902119249174591e-17,1.153447812867036e-15
-1.421309872922776,9.127344570245627e-17,1.521841593452209e-15
-1.417399804496579,1.205313329351627e-16,2.00506909184003e-15
-1.413489736070381,1.589463747641386e-16,2.638026873849393e-15
-1.409579667644184,2.093139036731547e-16,3.46593692733282e-15
-1.405669599217986,2.7526052773819e-16,4.547317175504249e-15
-1.401759530791789,3.614846308229742e-16,5.957781567382065e-15
-1.397849462365591,4.740644637828175e-16,7.794894228397475e-15
-1.393939393939394,6.208522478384749e-16,1.018436088732529e-14
-1.390029325513197,8.11977570163377e-16,1.328791434926407e-14
