x,psiSquared,phiSquared
-2,2.071043595040869e-42,4.428206034787718e-41
-1.984313725490196,2.24407547194735e-41,4.779456282528515e-40
-1.968627450980392,1.852133241857982e-40,3.925688617125034e-39
-1.952941176470588,1.439532019438132e-39,3.035577495347272e-38
-1.937254901960784,1.080158649449658e-38,2.265867210687453e-37
-1.92156862745098,7.85126970504094e-38,1.638247731106926e-36
-1.905882352941176,5.532035950131117e-37,1.148114811818021e-35
-1.890196078431372,3.779882486443714e-36,7.802013111897313e-35
-1.874509803921569,2.505264583825988e-35,5.142526198443502e-34
-1.858823529411765,1.611165707909207e-34,3.288691480833588e-33
-1.843137254901961,1.005692968185673e-33,2.041139918382741e-32
-1.827450980392157,6.094736064456059e-33,1.229844113124709e-31
-1.811764705882353,3.587012865356803e-32,7.195784833131686e-31
-1.796078431372549,2.050795862282551e-31,4.089581709504523e-30
-1.780392156862745,1.139318327679073e-30,2.258253910128733e-29
-1.764705882352941,6.152072143581804e-30,1.211934556767301e-28
-1.749019607843137,3.229764791089604e-29,6.322900292478191e-28
-1.733333333333333,1.648966997220467e-28,3.207757104922111e-27
-1.71764705882353,8.189589581998571e-28,1.582890361299319e-26
-1.701960784313725,3.957656140446106e-27,7.599407555493767e-26
-1.686274509803922,1.86146787944211e-26,3.550607361675874e-25
-1.670588235294118,8.523729565653153e-26,1.614853892717764e-24
-1.654901960784314,3.80079764984626e-25,7.151290076205913e-24
-1.63921568627451,1.650838092554342e-24,3.084383090117818e-23
-1.623529411764706,6.986053528888526e-24,1.29597462695217e-22
-1.607843137254902,2.881174038277126e-23,5.306153594234747e-22
-1.592156862745098,1.158321569183223e-22,2.117524904063515e-21
-1.576470588235294,4.540694193950867e-22,8.238578962580245e-21
-1.56078431372549,1.736040014739187e-21,3.125793567370806e-20
-1.545098039215686,6.475182647804836e-21,1.156807473089281e-19
-1.529411764705882,2.356726291021734e-20,4.176983772263564e-19
-1.513725490196078,8.372221512465684e-20,1.471882086004204e-18
-1.498039215686275,2.903728032219915e-19,5.062895158167574e-18
-1.482352941176471,9.834758150859659e-19,1.700384885134758e-17
-1.466666666666667,3.253662204143397e-18,5.577302403063605e-17
-1.450980392156863,1.051696552436422e-17,1.787045657009348e-16
-1.435294117647059,3.322197996403347e-17,5.594831760746856e-16
-1.419607843137255,1.025853180662899e-16,1.711919599868751e-15
-1.403921568627451,3.097253939805033e-16,5.120699221706425e-15
-1.388235294117647,9.145497145813224e-16,1.497714259374406e-14
-1.372549019607843,2.64169968921745e-15,4.284363267774183e-14
-1.356862745098039,7.466406897794183e-15,1.198959939486094e-13
-1.341176470588235,2.065371360043025e-14,3.283123079619925e-13
-1.325490196078431,5.593052423484762e-14,8.799062664044676e-13
-1.309803921568627,1.483097090808495e-13,2.308631730786867e-12
-1.294117647058824,3.851817467974309e-13,5.931216234317141e-12
-1.27843137254902,9.800369846214353e-13,1.492468360549035e-11
-1.262745098039216,2.443457982488919e-12,3.679084808115177e-11
-1.247058823529412,5.971145878503984e-12,8.886859952735933e-11
-1.231372549019608,1.430557761364155e-11,2.103928049266366e-10
-1.215686274509804,3.360874524478298e-11,4.883004506366444e-10
-1.2,7.744661027893313e-11,1.111261515908179e-09
-1.184313725490196,1.750892679535738e-10,2.480373368364397e-09
-1.168627450980392,3.884428823670059e-10,5.431098807270684e-09
-1.152941176470588,8.458797149002791e-10,1.166879222237869e-08
-1.137254901960784,1.808451480378423e-09,2.46053089470668e-08
-1.12156862745098,3.796860637210466e-09,5.093227051200695e-08
-1.105882352941177,7.830048459607752e-09,1.035176831371114e-07
-1.090196078431373,1.586457355831391e-08,2.066277822376972e-07
-1.074509803921569,3.158772689594459e-08,4.051448052238398e-07
-1.058823529411765,6.182098346655129e-08,7.805006518155372e-07
-1.043137254901961,1.189548693855114e-07,1.477648150594539e-06
-1.027450980392157,2.250910320596912e-07,2.749768649377713e-06
-1.011764705882353,4.189520586262212e-07,5.030839242986764e-06
-0.996078431372549,7.671861840862816e-07,9.050964654885138e-06
-0.9803921568627452,1.382506786438676e-06,1.601583414561635e-05
-0.9647058823529413,2.452241045675854e-06,2.788006193810271e-05
-0.9490196078431372,4.282400964699502e-06,4.775464748156055e-05
-0.9333333333333333,7.364414523697883e-06,8.050123629135064e-05
-0.9176470588235295,1.247423182978939e-05,0.0001335797613465167
-0.9019607843137254,2.081668346837667e-05,0.0002182303207929904
-0.8862745098039215,3.423168918933525e-05,0.0003510829903932041
-0.8705882352941177,5.548307815608096e-05,0.0005562980118995928
-0.8549019607843138,8.86551483712004e-05,0.0008683398777922368
-0.8392156862745099,0.0001396862704464868,0.001335477892185913
-0.8235294117647058,0.0002170722615407339,0.002024077981694039
-0.807843137254902,0.0003327741680436257,0.003023701073558766
-0.7921568627450981,0.0005033645835876601,0.004452948340161857
-0.776470588235294,0.0007514426585731285,0.006465891042828221
-0.7607843137254902,0.00110733946496865,0.009258793734429579
-0.7450980392156863,0.001611121398592421,0.01307668966297506
-0.7294117647058824,0.002314879122158718,0.01821920710270922
-0.7137254901960786,0.003285262914094195,0.02504489149283937
-0.6980392156862745,0.004606192568440554,0.03397314249131285
-0.6823529411764706,0.006381632382104463,0.04548281301480211
-0.6666666666666667,0.008738281396503102,0.06010652583039199
-0.6509803921568627,0.01182798903577606,0.07841987628514967
-0.6352941176470588,0.01582967060425291,0.1010249236970616
-0.6196078431372549,0.02095047044956562,0.1285277325368773
-0.6039215686274511,0.02742590794744481,0.1615101946168272
-0.5882352941176472,0.03551874759253115,0.2004969125104684
