x,psiSquared,phiSquared
-2,8.779541347935787e-49,5.045042606987957e-44
-1.996089931573803,4.031097764130022e-48,2.312988043129335e-43
-1.992179863147605,1.039548036329944e-47,5.950518415501969e-43
-1.988269794721408,2.176670607163743e-47,1.241960827897782e-42
-1.98435972629521,4.133529504049506e-47,2.34931434426691e-42
-1.980449657869013,7.454857317635054e-47,4.218146026040635e-42
-1.976539589442815,1.305786105769997e-46,7.352362448604769e-42
-1.972629521016618,2.247773911768939e-46,1.25902991100551e-41
-1.96871945259042,3.827554478485307e-46,2.132191350703494e-41
-1.964809384164223,6.471339189873665e-46,3.58460761197467e-41
-1.960899315738025,1.088694846174779e-45,5.995684604386678e-41
-1.956989247311828,1.824755738566899e-45,9.990341398363085e-41
-1.953079178885631,3.049388691245439e-45,1.65958696429232e-40
-1.949169110459433,5.083022570554243e-45,2.749774443381144e-40
-1.945259042033236,8.453704048009132e-45,4.545599433176846e-40
-1.941348973607038,1.40299686603145e-44,7.49815898296753e-40
-1.937438905180841,2.323768484981421e-44,1.234331028107842e-39
-1.933528836754643,3.841326608191879e-44,2.027913380978129e-39
-1.929618768328446,6.337791488366821e-44,3.325255379288893e-39
-1.925708699902248,1.043694425935343e-43,5.442136840501985e-39
-1.921798631476051,1.715514580226115e-43,8.88976102105175e-39
-1.917888563049853,2.81453048469425e-43,1.449412484210086e-38
-1.913978494623656,4.609052060725644e-43,2.358733947835166e-38
-1.910068426197459,7.533802907185842e-43,3.831368442028585e-38
-1.906158357771261,1.229182300950243e-42,6.211826766004718e-38
-1.902248289345064,2.001796341170801e-42,1.005257607976937e-37
-1.898338220918866,3.254070920081625e-42,1.623790477758029e-37
-1.894428152492669,5.28006837862649e-42,2.618056789468988e-37
-1.890518084066471,8.551834937969717e-42,4.213338772146322e-37
-1.886608015640274,1.38257304524557e-41,6.768207942655209e-37
-1.882697947214076,2.23114417301265e-41,1.085232344960152e-36
-1.878787878787879,3.594013497568153e-41,1.736901532679728e-36
-1.874877810361681,5.778911344613385e-41,2.774807128454509e-36
-1.870967741935484,9.275308277997916e-41,4.424836558731024e-36
-1.867057673509287,1.486032808671046e-40,7.043202683476539e-36
-1.863147605083089,2.37655514697562e-40,1.119059939002218e-35
-1.859237536656892,3.793923564926364e-40,1.774795868719206e-35
-1.855327468230694,6.04577761457743e-40,2.809681258731299e-35
-1.851417399804496,9.617017319996484e-40,4.439979575348126e-35
-1.847507331378299,1.52705611111917e-39,7.0036083025872e-35
-1.843597262952102,2.420458764261804e-39,1.102760930535938e-34
-1.839687194525904,3.829748068815165e-39,1.733250068255608e-34
-1.835777126099707,6.048870368177687e-39,2.719337427687539e-34
-1.831867057673509,9.536996700878065e-39,4.258814075635969e-34
-1.827956989247312,1.501011435704524e-38,6.65793659566852e-34
-1.824046920821114,2.35826775890874e-38,1.039005173941551e-33
-1.820136852394917,3.698628407418348e-38,1.618544088727954e-33
-1.816226783968719,5.79066571234672e-38,2.516875967972778e-33
-1.812316715542522,9.050201017586419e-38,3.906890490277353e-33
-1.808406647116324,1.411990018579587e-37,6.053889570036563e-33
-1.804496578690127,2.199127605269101e-37,9.364255867193749e-33
-1.80058651026393,3.419135948737041e-37,1.445936623840835e-32
-1.796676441837732,5.306781140708115e-37,2.228764297268575e-32
-1.792766373411535,8.222361896572574e-37,3.429411604280454e-32
-1.788856304985337,1.271786866092297e-36,5.267655441645816e-32
-1.78494623655914,1.963749807800478e-36,8.077167183088537e-32
-1.781036168132942,3.02700949139383e-36,1.236364251081076e-31
-1.777126099706745,4.657994302004343e-36,1.889213980797833e-31
-1.773216031280547,7.155556288848033e-36,2.881807034844866e-31
-1.76930596285435,1.097359348733188e-35,4.388330905245862e-31
-1.765395894428152,1.680030191740114e-35,6.670928026016176e-31
-1.761485826001955,2.567732605554042e-35,1.012341982132269e-30
-1.757575757575758,3.91785838784719e-35,1.533642153507696e-30
-1.75366568914956,5.967818964014467e-35,2.319414214881407e-30
-1.749755620723363,9.07511741792447e-35,3.501803490853245e-30
-1.745845552297165,1.377717934358333e-34,5.277960056103827e-30
-1.741935483870968,2.088053189322774e-34,7.941508219425218e-30
-1.73802541544477,3.159349921541576e-34,1.192900265303207e-29
-1.734115347018573,4.772331141412607e-34,1.788838888903105e-29
-1.730205278592375,7.196839568632605e-34,2.677971557126305e-29
-1.726295210166178,1.083510749734044e-33,4.00230355626537e-29
-1.72238514173998,1.628570343873064e-33,5.971523077710813e-29
-1.718475073313783,2.443787605183464e-33,8.894733163581835e-29
-1.714565004887586,3.661050969472605e-33,1.322681092367539e-28
-1.710654936461388,5.475644177753584e-33,1.963602031742523e-28
-1.706744868035191,8.176238158814138e-33,2.910245325425089e-28
-1.702834799608993,1.218884246080722e-32,4.30611101662901e-28
-1.698924731182796,1.814110582586008e-32,6.360950751526238e-28
-1.695014662756598,2.695623031529427e-32,9.380839980919622e-28
-1.691104594330401,3.998990897597698e-32,1.381166389424723e-27
-1.687194525904203,5.922966497815748e-32,2.030189367414613e-27
-1.683284457478006,8.758454700552946e-32,2.979305692260328e-27
-1.679374389051808,1.293054411271383e-31,4.364989963430108e-27
-1.675464320625611,1.905938846180228e-31,6.384733792343978e-27
-1.671554252199414,2.8048246960299e-31,9.323852562121284e-27
-1.667644183773216,4.121059010123406e-31,1.359385882601578e-26
-1.663734115347019,6.045330442948553e-31,1.978730123071918e-26
-1.659824046920821,8.854032435930041e-31,2.875600326695212e-26
-1.655913978494624,1.294713800427888e-30,4.172250063585412e-26
-1.652003910068426,1.890252422161195e-30,6.043850040356828e-26
-1.648093841642229,2.755376437283276e-30,8.740982945167528e-26
-1.644183773216031,4.010134527790077e-30,1.262152426666326e-25
-1.640273704789834,5.827141493285553e-30,1.81957507890911e-25
-1.636363636363636,8.454200825527932e-30,2.619005992662103e-25
-1.632453567937439,1.224649155287929e-29,3.763683041521294e-25
-1.628543499511241,1.771228949280673e-29,5.400094125049899e-25
-1.624633431085044,2.557781022233128e-29,7.735761198799097e-25
-1.620723362658846,3.687902425373562e-29,1.106419744268064e-24
-1.616813294232649,5.309145699051508e-29,1.57998737905186e-24
-1.612903225806452,7.631339690324708e-29,2.252712958313189e-24
-1.608993157380254,1.095240782128802e-28,3.206847713137829e-24
-1.605083088954057,1.569469454657661e-28,4.557983591040771e-24
-1.601173020527859,2.245599639002264e-28,6.468309932483757e-24
-1.597262952101662,3.208113719315992e-28,9.16503715900776e-24
-1.593352883675464,4.576220099248607e-28,1.296596027057627e-23
-1.589442815249267,6.517867718405119e-28,1.831487222404591e-23
-1.585532746823069,9.269310534464482e-28,2.583054400998185e-23
-1.581622678396872,1.316237736656273e-27,3.637436069487341e-23
-1.577712609970674,1.866242285055233e-27,5.114357062845497e-23
-1.573802541544477,2.642106138794671e-27,7.179964315428593e-23
-1.56989247311828,3.734932940809782e-27,1.006446733459717e-22
-1.565982404692082,5.271903331166184e-27,1.408634356366176e-22
-1.562072336265885,7.430292605590569e-27,1.968549938425034e-22
-1.558162267839687,1.045682916056073e-26,2.746862875444125e-22
-1.55425219941349,1.469438775617314e-26,3.827115878306449e-22
-1.550342130987292,2.061874065432459e-26,5.324171537305031e-22
-1.546432062561095,2.888907951044021e-26,7.395711612817157e-22
-1.542521994134897,4.041736271812493e-26,1.025786796358213e-21
-1.5386119257087,5.646335908743032e-26,1.42064365612645e-21
-1.534701857282502,7.876471317470771e-26,1.9645624120665e-21
-1.530791788856305,1.097146694615765e-25,2.712694174265405e-21
-1.526881720430108,1.526045545715002e-25,3.740174605728239e-21
-1.52297165200391,2.119541189903154e-25,5.149210739716634e-21
-1.519061583577713,2.939609016765212e-25,7.078625088984101e-21
-1.515151515151515,4.071105927340542e-25,9.716689397025715e-21
-1.511241446725318,5.63004846862957e-25,1.331835551975488e-20
-1.50733137829912,7.774823570470579e-25,1.822835471719301e-20
-1.503421309872923,1.072134839068519e-24,2.491211688696043e-20
-1.499511241446725,1.476354023075196e-24,3.399709427197911e-20
-1.495601173020528,2.030091594494488e-24,4.632790719962015e-20
-1.49169110459433,2.787574954581241e-24,6.303982395107448e-20
-1.487781036168133,3.822302520934301e-24,8.565652277404618e-20
-1.483870967741935,5.233749414099743e-24,1.162199648762168e-19
-1.479960899315738,7.156356105726276e-24,1.574626669975572e-19
-1.476050830889541,9.771559835419828e-24,2.130358740728659e-19
-1.472140762463343,1.332387557922842e-23,2.878113200709301e-19
-1.468230694037146,1.814235865460634e-23,3.882797162784852e-19
-1.464320625610948,2.466920888318565e-23,5.230761914539052e-19
-1.460410557184751,3.349783809469416e-23,7.036721030366667e-19
-1.456500488758553,4.542345954569373e-23,9.45284552803961e-19
-1.452590420332356,6.151022259350982e-23,1.268070354701133e-18
-1.448680351906158,8.318017740558383e-23,1.698691114856195e-18
-1.444770283479961,1.123310014268316e-22,2.272361767354603e-18
-1.440860215053763,1.514915664637597e-22,3.035527986571339e-18
-1.436950146627566,2.04027220437481e-22,4.049360431577627e-18
-1.433040078201369,2.744102914564461e-22,5.394308391697522e-18
-1.429130009775171,3.685760385421488e-22,7.176025418906182e-18
-1.425219941348974,4.943903871608514e-22,9.53306916143451e-18
-1.421309872922776,6.622637011799367e-22,1.264689217464389e-17
-1.417399804496579,8.85955071100709e-22,1.675478669621593e-17
-1.413489736070381,1.183624799702125e-21,2.216663269723164e-17
-1.409579667644184,1.579209780564906e-21,2.928653560949525e-17
-1.405669599217986,2.104218362668376e-21,3.864074136369066e-17
-1.401759530791789,2.800069437214659e-21,5.091359853841006e-17
-1.397849462365591,3.721136601302569e-21,6.699382154087251e-17
-1.393939393939394,4.938704542229095e-21,8.803392110836561e-17
-1.390029325513197,6.546104027062301e-21,1.15526441864727e-16
-1.386119257086999,8.665367592875437e-21,1.514016221184079e-16
-1.382209188660802,1.145584465801335e-20,1.981523194984657e-16
-1.378299120234604,1.512533792035456e-20,2.58993590720124e-16
-1.374389051808407,1.994447963692162e-20,3.380662533441797e-16
-1.370478983382209,2.626526557381438e-20,4.406961892310106e-16
-1.366568914956012,3.454491723489143e-20,5.737241939824352e-16
-1.362658846529814,4.537656341864264e-20,7.459249828669785e-16
-1.358748778103617,5.95286377473891e-20,9.685387151488007e-16
-1.354838709677419,7.799540149106863e-20,1.255944321532965e-15
-1.350928641251222,1.020616481616173e-19,1.626511291709957e-15
-1.347018572825025,1.333854621510506e-19,2.103675742230399e-15
-1.343108504398827,1.741039306868072e-19,2.717297957873877e-15
-1.33919843597263,2.269679995221811e-19,3.505372694892339e-15
-1.335288367546432,2.955142838294739e-19,4.516180978610813e-15
-1.331378299120235,3.842836782949099e-19,5.810993685670743e-15
-1.327468230694037,4.990991554818519e-19,7.467463804819365e-15
-1.32355816226784,6.474183241456005e-19,9.583877053900352e-15
-1.319648093841642,8.38780293790351e-19,1.228447087291165e-14
-1.315738025415445,1.085371348894379e-18,1.572608138599536e-14
-1.311827956989247,1.402740110646162e-18,2.010643875504089e-14
-1.30791788856305,1.810700544569302e-18,2.567450588511329e-14
-1.304007820136852,2.334470713972847e-18,3.274334664762535e-14
-1.300097751710655,3.006107017245862e-18,4.170612123174147e-14
-1.296187683284457,3.866308315303055e-18,5.305594221825506e-14
-1.29227761485826,4.966682507109996e-18,6.741049066453354e-14
-1.288367546432063,6.372590544420284e-18,8.554249310386806e-14
-1.284457478005865,8.166710565958848e-18,1.084174053433983e-13
-1.280547409579668,1.045349896394387e-17,1.372399462061633e-13
-1.27663734115347,1.336476721785648e-17,1.735114845620475e-13
-1.272727272727273,1.706664499949733e-17,2.191007188516356e-13
-1.268817204301075,2.17682635038351e-17,2.763306149911742e-13
-1.264907135874878,2.773257077989363e-17,3.480852041062458e-13
-1.26099706744868,3.528978615900539e-17,4.379406074295897e-13
-1.257086999022483,4.485411749467138e-17,5.5032557737529e-13
-1.253176930596285,5.694450741754551e-17,6.907179514396508e-13
-1.249266862170088,7.221034869400879e-17,8.658847448826505e-13
-1.245356793743891,9.146332071188012e-17,1.084175201301722e-12
-1.241446725317693,1.157167571091666e-16,1.35587802700045e-12
-1.237536656891496,1.462342682338291e-16,1.693656314127766e-12
-1.233626588465298,1.845897230233854e-16,2.113076377918179e-12
-1.229716520039101,2.32741156866699e-16,2.633249976060615e-12
