x,psiSquared,phiSquared
-2,1.587466797266907e-43,5.121898822193652e-42
-1.996089931573803,7.276947203532847e-43,2.347023751471023e-41
-1.992179863147605,1.871660253007358e-42,6.033085184129983e-41
-1.988269794721408,3.905177521933707e-42,1.257794530450118e-40
-1.98435972629521,7.384213301786206e-42,2.37604857751819e-40
-1.980449657869013,1.325226051268482e-41,4.259541263542645e-40
-1.976539589442815,2.308769815084825e-41,7.411871403042265e-40
-1.972629521016618,3.951478719140715e-41,1.266907842022145e-39
-1.96871945259042,6.688176049024641e-41,2.141430818152255e-39
-1.964809384164223,1.12375556491639e-40,3.593015276557258e-39
-1.960899315738025,1.878497271159547e-40,5.997548700857526e-39
-1.956989247311828,3.128153098799038e-40,9.972779112370616e-39
-1.953079178885631,5.193246503774939e-40,1.653193986672373e-38
-1.949169110459433,8.599304701289589e-40,2.7333703663248e-38
-1.945259042033236,1.420631214487006e-39,4.508806941228988e-38
-1.941348973607038,2.341885532759084e-39,7.421417193122508e-38
-1.937438905180841,3.852659331094498e-39,1.219042987214153e-37
-1.933528836754643,6.32548096579648e-39,1.998416067050835e-37
-1.929618768328446,1.036529517924371e-38,3.269677723651327e-37
-1.925708699902248,1.695258836371222e-38,5.339336989490443e-37
-1.921798631476051,2.767348971256663e-38,8.702429439698487e-37
-1.917888563049853,4.508899166627175e-38,1.415694869938568e-36
-1.913978494623656,7.332626471066638e-38,2.29868028113811e-36
-1.910068426197459,1.190238479888924e-37,3.725376791059659e-36
-1.906158357771261,1.928396074501697e-37,6.026248124651097e-36
-1.902248289345064,3.118519450887818e-37,9.729961499285274e-36
-1.898338220918866,5.033761045124766e-37,1.568066545360531e-35
-1.894428152492669,8.110180018172278e-37,2.522370872230601e-35
-1.890518084066471,1.304259245588918e-36,4.049918106535682e-35
-1.886608015640274,2.093604357424089e-36,6.490499207147831e-35
-1.882697947214076,3.354472724609916e-36,1.038260209671726e-34
-1.878787878787879,5.364812702681588e-36,1.657800402418033e-34
-1.874877810361681,8.564207634614454e-36,2.642152333947812e-34
-1.870967741935484,1.364657937636078e-35,4.203244980471477e-34
-1.867057673509287,2.170531452608619e-35,6.674433959405866e-34
-1.863147605083089,3.446003268927254e-35,1.057909977337474e-33
-1.859237536656892,5.461026357341111e-35,1.673744518205122e-33
-1.855327468230694,8.638602830002415e-35,2.643245180947619e-33
-1.851417399804496,1.364033540675413e-34,4.166728486377288e-33
-1.847507331378299,2.149911383950725e-34,6.556379283617282e-33
-1.843597262952102,3.382452423452866e-34,1.029782945939139e-32
