Scaling potential for solution T0.875 for k=5 A0.15
a_pot	F
0.9	0.229204
0.91	0.287239	
0.92	0.359508
0.93	0.443678
0.94	0.535616
0.95	0.629722
0.96	0.719517
0.97	0.798375
0.98	0.860262
0.99	0.900379
1.00	0.915682
1.01	0.905216
1.02	0.870189
1.03	0.813725
1.04	0.740358
1.05	0.655400
1.06	0.564313
1.07	0.472179
1.08	0.383328
1.09	0.301139
1.10	0.228000
