Test robustness of optimal solution (ɑ*β) for β=4, T = 2
ɑ	F
0.05	0.7218
0.1	0.7560
0.2	0.8166
0.3	0.8668
0.4	0.9072
0.5	0.9388
0.6	0.9627
0.7	0.9798
0.8	0.9911
0.9	0.9975
1.0	0.9996
1.3	0.9870
1.6	0.9570
2	0.9078
3	0.8196
4	0.8127
5	0.8194
6	0.7842
7	0.7179
7.5	0.6591
8	0.5750
9	0.3625
10	0.2204
