x,phiSquared
-3,1.513246522454698e-100
-2.976470588235294,3.257294880754542e-75
-2.952941176470588,2.037391130152105e-72
-2.929411764705882,2.664225575408007e-70
-2.905882352941176,3.726240299591697e-69
-2.882352941176471,2.508891961622904e-68
-2.858823529411765,1.837439388802278e-65
-2.835294117647059,3.692177930843516e-62
-2.811764705882353,3.876184422222337e-62
-2.788235294117647,2.220784538795855e-59
-2.764705882352941,1.11599740399215e-56
-2.741176470588235,8.843363197386935e-56
-2.71764705882353,7.127511731537024e-55
-2.694117647058824,3.711851814557914e-53
-2.670588235294117,2.321774855920271e-52
-2.647058823529412,2.238716786839501e-51
-2.623529411764706,7.201483187372203e-49
-2.6,7.351162628608761e-47
-2.576470588235294,5.003349218951208e-46
-2.552941176470588,1.486482549371478e-44
-2.529411764705882,8.227445315844934e-43
-2.505882352941176,1.151564119893911e-41
-2.482352941176471,6.967750675918831e-40
-2.458823529411765,6.078736447055076e-39
-2.435294117647059,1.752940445437344e-38
-2.411764705882353,3.44817111470313e-37
-2.388235294117647,2.361810958512215e-36
-2.364705882352941,3.864399232076953e-36
-2.341176470588235,9.151758906554151e-35
-2.317647058823529,2.986224433928072e-34
-2.294117647058823,1.05928708226905e-33
-2.270588235294118,5.795204903234426e-34
-2.247058823529412,8.511941915544655e-34
-2.223529411764706,1.097563960141192e-33
-2.2,2.807978242863644e-35
-2.176470588235294,5.056467777947838e-34
-2.152941176470588,2.575330181842802e-35
-2.129411764705882,2.310490762855598e-36
-2.105882352941177,2.259299482050054e-33
-2.082352941176471,3.668139765695989e-33
-2.058823529411764,8.580580957466292e-34
-2.035294117647059,1.089511402511085e-34
-2.011764705882353,1.650491390895512e-34
-1.988235294117647,7.791185863928368e-35
-1.964705882352941,1.298020803677196e-34
-1.941176470588235,1.830150990068756e-34
-1.917647058823529,8.359662318646702e-34
-1.894117647058823,5.398368337862645e-33
-1.870588235294118,2.680731396636571e-33
-1.847058823529412,2.601021540291643e-33
-1.823529411764706,1.050267159555935e-31
-1.8,1.129360534532998e-30
-1.776470588235294,1.461511001451133e-29
-1.752941176470588,1.84241784395997e-28
-1.729411764705882,2.158843326836993e-27
-1.705882352941176,2.374547779865357e-26
-1.682352941176471,2.445643243218783e-25
-1.658823529411765,2.364917965852963e-24
-1.635294117647059,2.149583520091574e-23
-1.611764705882353,1.839432785514071e-22
-1.588235294117647,1.483531597789204e-21
-1.564705882352941,1.128922020883195e-20
-1.541176470588235,8.113941963897772e-20
-1.517647058823529,5.513591236644351e-19
-1.494117647058824,3.545633681733778e-18
-1.470588235294118,2.159843835370389e-17
-1.447058823529412,1.247452156856161e-16
-1.423529411764706,6.837458665606256e-16
-1.4,3.559788677924523e-15
-1.376470588235294,1.761958698230577e-14
-1.352941176470588,8.298260336530558e-14
-1.329411764705882,3.721954580170885e-13
-1.305882352941176,1.591168251302846e-12
-1.282352941176471,6.489128422905017e-12
-1.258823529411765,2.526633527898285e-11
-1.235294117647059,9.400275995574969e-11
-1.211764705882353,3.344528695102247e-10
-1.188235294117647,1.138873686830234e-09
-1.164705882352941,3.714580705438512e-09
-1.141176470588235,1.161400434419561e-08
-1.117647058823529,3.483642213887906e-08
-1.094117647058824,1.003235776424113e-07
-1.070588235294118,2.776041761640986e-07
-1.047058823529412,7.386439279269466e-07
-1.023529411764706,1.891298123860811e-06
-1,4.66366080667188e-06
-0.9764705882352942,1.108304411551572e-05
-0.9529411764705884,2.54024618668075e-05
-0.9294117647058826,5.619438556315723e-05
-0.9058823529411764,0.0001200665731502965
-0.8823529411764706,0.0002479537751797174
-0.8588235294117648,0.0004952692952894303
-0.835294117647059,0.00095748437094915
-0.8117647058823532,0.001792807093779005
-0.7882352941176469,0.003253365683028236
-0.7647058823529411,0.005725439523153414
-0.7411764705882353,0.009777621535620881
-0.7176470588235295,0.01621323678125859
-0.6941176470588237,0.02611998900649912
-0.6705882352941175,0.04090605920517931
-0.6470588235294117,0.06230847581022717
-0.6235294117647059,0.09235754292327514
-0.6000000000000001,0.1332816080384415
-0.5764705882352943,0.1873404893717788
-0.552941176470588,0.2565840044383177
-0.5294117647058822,0.3425439932006589
-0.5058823529411764,0.4458827704776806
-0.4823529411764707,0.5660358607896863
-0.4588235294117649,0.7008992550189935
-0.4352941176470591,0.8466181916180971
-0.4117647058823528,0.9975329979029613
-0.388235294117647,1.146326368955741
-0.3647058823529412,1.284395798407822
-0.3411764705882354,1.402446730671356
-0.3176470588235296,1.491270053475708
-0.2941176470588234,1.542636570974623
