Scaling potential for solution T0.875 for k=5 A0.15
a_pot	F
0.9	0.146785
0.91	0.207683
0.92	0.297404
0.93	0.408628
0.94	0.531386
0.95	0.65467
0.96	0.768009
0.97	0.862736
0.98	0.932771
0.99	0.974882
1.00	0.988516
1.01	0.975338
1.02	0.938637
1.03	0.882723
1.04	0.812384
1.05	0.73243
1.06	0.647363
1.07	0.561142
1.08	0.477045
1.09	0.39762
1.10	0.324701
