x,V,psiSquared
-2,2248,8.134288840481825e-42
-1.984313725490196,2181.376016916689,8.791721016602881e-41
-1.968627450980392,2116.264821706968,7.23364761150561e-40
-1.952941176470588,2052.642979044791,5.603689091942833e-39
-1.937254901960784,1990.487239598765,4.19059937361127e-38
-1.92156862745098,1929.774540032144,3.03558617068811e-37
-1.905882352941176,1870.482003002837,2.131479819618284e-36
-1.890196078431372,1812.586937163404,1.451266913407185e-35
-1.874509803921569,1756.066837161054,9.584599911976939e-35
-1.858823529411765,1700.899383637648,6.141719723177766e-34
-1.843137254901961,1647.062443229699,3.819635689323407e-33
-1.827450980392157,1594.534068568369,2.306188845154459e-32
-1.811764705882353,1543.292498279475,1.352173277624331e-31
-1.796078431372549,1493.316156983481,7.701168479734284e-31
-1.780392156862745,1444.583655295504,4.261756943691106e-30
-1.764705882352941,1397.073789825313,2.292177896910144e-29
-1.749019607843137,1350.765543177328,1.198544804424213e-28
-1.733333333333333,1305.638083950617,6.094305703929154e-28
-1.71764705882353,1261.670766738904,3.014220013984552e-27
-1.701960784313725,1218.84313213056,1.450515127641986e-26
-1.686274509803922,1177.134906708611,6.793306126501512e-26
-1.670588235294118,1136.52600305073,3.097176409715123e-25
-1.654901960784314,1096.996519729244,1.374959861388816e-24
-1.63921568627451,1058.52674131113,5.945196471857605e-24
-1.623529411764706,1021.097138358018,2.504417084420421e-23
-1.607843137254902,984.688367426186,1.028070474507851e-22
-1.592156862745098,949.2812710665658,4.113635872312535e-22
-1.576470588235294,914.8568778247385,1.604818560899894e-21
-1.56078431372549,881.3964022409386,6.105666052335013e-21
-1.545098039215686,848.8812448500496,2.265982570683026e-20
-1.529411764705882,817.2929921816069,8.205507003743345e-20
-1.513725490196078,786.6134167597975,2.899933891695692e-19
-1.498039215686275,756.8244771034593,1.000489782421131e-18
-1.482352941176471,727.908317726081,3.370441219987617e-18
-1.466666666666667,699.8472691358027,1.108964555447528e-17
-1.450980392156863,672.6238478354154,3.564612099490631e-17
-1.435294117647059,646.220756322362,1.119636702167599e-16
-1.419607843137255,620.620883088736,3.437307610473985e-16
-1.403921568627451,595.8073026212819,1.031672710865133e-15
-1.388235294117647,571.763275401396,3.027981880329804e-15
-1.372549019607843,548.4722479051251,8.692757768467178e-15
-1.356862745098039,525.9178526031674,2.441516889667719e-14
