using robustness_interaction_k5A015 flow file for T=0.875
a_int	F
0.1	0.890943
0.2	0.897193
0.3	0.902563
0.4	0.907068
0.5	0.910724
0.6	0.913550
0.7	0.915566
0.8	0.916792
0.9	0.917252
1.0	0.916968
2.0	0.879104
3.0	0.798222
4.0	0.702886
5.0	0.612377
6.0	0.533607
7.0	0.466499
8.0	0.409557
9.0	0.361489
10.0	0.320864
