x,V,psiSquared
-2,2248,9.126062038174616e-45
-1.984313725490196,2181.376016916689,9.977792461631246e-44
-1.968627450980392,2116.264821706968,8.326925425686541e-43
-1.952941176470588,2052.642979044791,6.548396419595496e-42
-1.937254901960784,1990.487239598765,4.972945354319848e-41
-1.92156862745098,1929.774540032144,3.65894022406475e-40
-1.905882352941176,1870.482003002837,2.610128731118941e-39
-1.890196078431372,1812.586937163404,1.805884638099945e-38
-1.874509803921569,1756.066837161054,1.212202954717341e-37
-1.858823529411765,1700.899383637648,7.896769163773964e-37
-1.843137254901961,1647.062443229699,4.993923223609694e-36
-1.827450980392157,1594.534068568369,3.066765640755799e-35
-1.811764705882353,1543.292498279475,1.8293307203362e-34
-1.796078431372549,1493.316156983481,1.060234892784426e-33
-1.780392156862745,1444.583655295504,5.972199534999143e-33
-1.764705882352941,1397.073789825313,3.270483016523061e-32
-1.749019607843137,1350.765543177328,1.741633858054936e-31
-1.733333333333333,1305.638083950617,9.021738711899899e-31
-1.71764705882353,1261.670766738904,4.547076210727792e-30
-1.701960784313725,1218.84313213056,2.230499810750057e-29
-1.686274509803922,1177.134906708611,1.065169530223539e-28
-1.670588235294118,1136.52600305073,4.953358824262536e-28
-1.654901960784314,1096.996519729244,2.243688905269468e-27
-1.63921568627451,1058.52674131113,9.902024154984949e-27
-1.623529411764706,1021.097138358018,4.258924712826692e-26
-1.607843137254902,984.688367426186,1.785690688407567e-25
-1.592156862745098,949.2812710665658,7.300590396896012e-25
-1.576470588235294,914.8568778247385,2.911186135721146e-24
-1.56078431372549,881.3964022409386,1.132547915350785e-23
-1.545098039215686,848.8812448500496,4.299637443527287e-23
-1.529411764705882,817.2929921816069,1.593343543275983e-22
-1.513725490196078,786.6134167597975,5.765045660344682e-22
-1.498039215686275,756.8244771034593,2.037159097587119e-21
-1.482352941176471,727.908317726081,7.032162567701773e-21
-1.466666666666667,699.8472691358027,2.371959569835473e-20
-1.450980392156863,672.6238478354154,7.81974440044677e-20
-1.435294117647059,646.220756322362,2.520327748842485e-19
-1.419607843137255,620.620883088736,7.943516577118934e-19
-1.403921568627451,595.8073026212819,2.44890482784098e-18
-1.388235294117647,571.763275401396,7.386627454129814e-18
-1.372549019607843,548.4722479051251,2.18045654391253e-17
-1.356862745098039,525.9178526031674,6.300678196795326e-17
-1.341176470588235,504.0839079608723,1.782696365686785e-16
-1.325490196078431,482.95441843824,4.940025662193867e-16
-1.309803921568627,462.5135744899228,1.341078660806329e-15
-1.294117647058824,442.7457525652232,3.567499775816886e-15
-1.27843137254902,423.635515108095,9.301858214286645e-15
-1.262745098039216,405.1676105571437,2.377841580019149e-14
-1.247058823529412,387.3269733456257,5.960942466059439e-14
-1.231372549019608,370.0987239014481,1.465808116690868e-13
-1.215686274509804,353.4681686471697,3.536558659379876e-13
-1.2,337.4208,8.374088500024504e-13
-1.184313725490196,321.9422963718004,1.946518643562816e-12
-1.168627450980392,307.0185221690827,4.442785643607811e-12
-1.152941176470588,292.6355277930101,9.959542374854441e-12
-1.137254901960784,278.7795496393972,2.193421706148293e-11
